Address,Name Tag,Balance,Txn Count
0x05f51aab068caa6ab7eeb672f88c180f67f17ec7,ABCC,247.21948594 Ether,"55,847"
0x4df5f3610e2471095a130d7d934d551f3dde01ed,ATAIX,63.92959088 Ether,"3,931"
0xadb72986ead16bdbc99208086bd431c1aa38938e,Beaxy,0.06338201 Ether,828
0x7a10ec7d68a048bdae36a70e93532d31423170fa,Bgogo 1,44.21781026 Ether,"22,133"
0xce1bf8e51f8b39e51c6184e059786d1c0eaf360f,Bgogo 2,0.25320101 Ether,"7,732"
0xf73c3c65bde10bf26c2e1763104e609a41702efe,Bibox,"1,511.96076889 Ether","621,990"
0xa30d8157911ef23c46c0eb71889efe6a648a41f7,BigONE,761.2941501 Ether,"117,669"
0x6efb20f61b80f6a7ebe7a107bace58288a51fb34,Biki.com,583.03710757 Ether,"355,122"
0xf7793d27a1b76cdf14db7c83e82c772cf7c92910,Bilaxy,261.01812709 Ether,"190,357"
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,Binance 1,"173,221.57983684 Ether","9,949,110"
0xd551234ae421e3bcba99a0da6d736074f22192ff,Binance 2,"18,224.39686139 Ether","1,818,089"
0x564286362092d8e7936f0549571a803b203aaced,Binance 3,"17,919.4013132 Ether","1,728,139"
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,Binance 4,"14,077.86620925 Ether","1,791,499"
0xfe9e8709d3215310075d67e3ed32a380ccf451c8,Binance 5,0.0927319 Ether,"13,398"
0x4e9ce36e442e55ecd9025b9a6e0d88485d628a67,Binance 6,0.10383631 Ether,395
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,Binance 7,"2,187,857.36482484 Ether",218
0xf977814e90da44bfa03b6295a0616a897441acec,Binance 8,"100,000.57354707 Ether",954
0xab83d182f3485cf1d6ccdd34c7cfef95b4c08da4,Binance JEX,"3,762.96078206 Ether","10,633"
0x4b729cf402cfcffd057e254924b32241aedc1795,Bit-Z,"1,998.51599347 Ether","178,181"
 0x7c49e1c0e33f3efb57d64b7690fa287c8d15b90a,Bit2C,479.53162239 Ether,"3,056"
0xdf5021a4c1401f1125cd347e394d977630e17cf7,Bitbox,656.80992304 Ether,"2,742"
0x28ebe764b8f9a853509840645216d3c2c0fd774b,BiteBTC,1.65144524 Ether,"14,431"
0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,Bitfinex 1,9.9616274 Ether,"391,317"
0x7727e5113d1d161373623e5f49fd568b4f543a9e,Bitfinex 2,0 Ether,"513,181"
0x4fdd5eb2fb260149a3903859043e962ab89d8ed4,Bitfinex 3,"100,116.86592345 Ether",23
0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,Bitfinex 4,"56,234.6563918 Ether","1,381,238"
0x742d35cc6634c0532925a3b844bc454e4438f44e,Bitfinex 5,"1,977,833.50962984 Ether","5,434"
0x8fa8af91c675452200e49b4683a33ca2e1a34e42,Bithumb 1,0.00957999 Ether,"43,387"
0x3052cd6bf951449a984fe4b5a38b46aef9455c8e,Bithumb 2,0.34448005 Ether,"207,695"
0x2140efd7ba31169c69dfff6cdc66c542f0211825,Bithumb 3,0 Ether,"109,472"
0x3fbe1f8fc5ddb27d428aa60f661eaaab0d2000ce,Bithumb Contract,16.59320371 Ether,"83,834"
0xe79eef9b9388a4ff70ed7ec5bccd5b928ebb8bd1,BitMart,0.00038 Ether,"133,034"
0x03bdf69b1322d623836afbd27679a1c0afa067e9,Bitmax 1,0.49045554 Ether,"150,799"
0x4b1a99467a284cc690e3237bc69105956816f762,Bitmax 2,"3,946.34375114 Ether","7,856"
0x986a2fca9eda0e06fbf7839b89bfc006ee2a23dd,Bitmax 3,"3,661.14614958 Ether","24,974"
0x1522900b6dafac587d499a862861c0869be6e428,Bitstamp,"12,292.45977547 Ether","636,187"
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,Bittrex 1,"140,187.86150469 Ether","8,706,810"
0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,Bittrex 2,0 Ether,"1,634,582"
0x66f820a414680b5bcda5eeca5dea238543f42054,Bittrex 3,"424,399.56416965 Ether",61
0xaa90b4aae74cee41e004bc45e45a427406c4dcae,BitUN.io 1,0.59595341 Ether,"15,569"
0xf8d04a720520d0bcbc722b1d21ca194aa22699f2,BitUN.io 2,0.00097022 Ether,"48,351"
0xfb9f7f41319157ac5c5dccae308a63a4337ad5d9,Bity.com,389.42140723 Ether,"85,886"
0x73957709695e73fd175582105c44743cf0fb6f2f,Bw.com,0.01497235 Ether,"774,144"
0xd7c866d0d536937bf9123e02f7c052446588189f,C2CX: Hot Wallet,175.55970104 Ether,"6,192"
0x72bcfa6932feacd91cb2ea44b0731ed8ae04d0d3,Cashierest,"1,618.22250874 Ether","180,266"
0xfd648cc72f1b4e71cbdda7a0a91fe34d32abd656,ChainX,128.99183908 Ether,567
0x96fc4553a00c117c5b0bed950dd625d1c16dc894,Changelly,30.14988478 Ether,"390,041"
0x8958618332df62af93053cb9c535e26462c959b0,Cobinhood 1,"1,718.61496733 Ether","198,147"
0xb726da4fbdc3e4dbda97bb20998cf899b0e727e0,Cobinhood 2,101.62600316 Ether,"7,931"
0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,Coinbene,0.1926415 Ether,"481,938"
0x33683b94334eebc9bd3ea85ddbda4a86fb461405,Coinbene: Cold Wallet,1.02259838 Ether,"30,494"
0xb6ba1931e4e74fd080587688f6db10e830f810d5,Coindelta,0 Ether,"74,780"
0xb9ee1e551f538a464e8f8c41e9904498505b49b0,Coinex,"4,862.72066058 Ether","183,344"
0x4b01721f0244e7c5b5f63c20942850e447f5a5ee,CoinExchange.io,214.38326739 Ether,"966,264"
0x1d1bd550197c7c0787b9ad0aea9c1cca66ee0e90,Coinhako,369.64082196 Ether,"19,000"
0x0d6b5a54f940bf3d52e438cab785981aaefdf40c,COSS.io 1,2.47415066 Ether,"221,145"
0xd1560b3984b7481cd9a8f40435a53c860187174d,COSS.io 2,321.95573121 Ether,"30,204"
0x521db06bf657ed1d6c98553a70319a8ddbac75a3,CREX24,439.46454418 Ether,"164,539"
0x5baeac0a0417a05733884852aa068b706967e790,Cryptopia 1,0 Ether,"519,426"
0x2984581ece53a4390d1f568673cf693139c97049,Cryptopia 2,0.39078397 Ether,"356,515"
0xe17ee7b3c676701c66b395a35f0df4c2276a344e,DigiFinex,17.06129206 Ether,"40,522"
0x8d76166c22658a144c0211d87abf152e6a2d9d95,Eterbase,479.99672506 Ether,"10,197"
0x1fd6267f0d86f62d88172b998390afee2a1f54b6,Exmo 1,"2,180.21291169 Ether","177,292"
0xd7b9a9b2f665849c4071ad5af77d8c76aa30fb32,Exmo 2,"12,117.61268275 Ether","1,288,641"
0x915d7915f2b469bb654a7d903a5d4417cb8ea7df,FCoin,"1,865.02997415 Ether","458,574"
0x4e5b2e1dc63f6b91cb6cd759936495434c7e972f,FixedFloat,17.89620491 Ether,"12,722"
0x0d0707963952f2fba59dd06f2b425ace40b492fe,Gate.io 1,"146,143.09644234 Ether","2,345,261"
0x7793cd85c11a924478d358d49b05b37e91b5810f,Gate.io 2,241.81290681 Ether,"11,086"
0x1c4b70a3968436b9a0a9cf5205c787eb81bb558c,Gate.io 3,"41,142.96493796 Ether","37,221"
0x9f5ca0012b9b72e8f3db57092a6f26bf4f13dc69,GBX,512.07431912 Ether,59
0xd24400ae8bfebb18ca49be86258a3c749cf46853,Gemini 1,"77,987.24996891 Ether","575,255"
0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,Gemini 2,0 Ether,"311,497"
0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,Gemini 3,"820,999.00123114 Ether",162
0x9fb01a2584aac5aae3fab1ed25f86c5269b32999,GGBTC.com,20.98182933 Ether,"9,888"
0x9c67e141c0472115aa1b98bd0088418be68fd249,HitBTC 1,0.09306233 Ether,"166,823"
0x59a5208b32e627891c389ebafc644145224006e8,HitBTC 2,"1,027.34550764 Ether","767,767"
0xa12431d0b9db640034b0cdfceef9cce161e62be4,HitBTC 3,"2,592.80348262 Ether","365,921"
0x274f3c32c90517975e29dfc209a23f315c1e5fc7,Hotbit 1,"2,086.67909639 Ether","444,717"
0x8533a0bd9310eb63e7cc8e1116c18a3d67b1976a,Hotbit 2,"2,382.77089454 Ether",407
0xab5c66752a9e8167967685f1450532fb96d5d24f,Huobi 1,79.91711868 Ether,"381,473"
0xe93381fb4c4f14bda253907b18fad305d799241a,Huobi 10,76.70240397 Ether,"251,938"
0xfa4b5be3f2f84f56703c42eb22142744e95a2c58,Huobi 11,92.87450734 Ether,"118,488"
0x46705dfff24256421a05d056c29e81bdc09723b8,Huobi 12,75.73660686 Ether,"262,261"
0x1b93129f05cc2e840135aab154223c75097b69bf,Huobi 13,0.88663946 Ether,"57,388"
0xeb6d43fe241fb2320b5a3c9be9cdfd4dd8226451,Huobi 14,0.94279746 Ether,"121,670"
0x956e0dbecc0e873d34a5e39b25f364b2ca036730,Huobi 15,0.57068836 Ether,"29,439"
0xeec606a66edb6f497662ea31b5eb1610da87ab5f,Huobi 16,9.36567771 Ether,"660,434"
0x7ef35bb398e0416b81b019fea395219b65c52164,Huobi 17,"9,689.85623598 Ether","112,954"
0x6748f50f686bfbca6fe8ad62b22228b87f31ff2b,Huobi 2,75.31223428 Ether,"374,972"
0xfdb16996831753d5331ff813c29a93c76834a0ad,Huobi 3,82.87975054 Ether,"266,353"
0xeee28d484628d41a82d01e21d12e2e78d69920da,Huobi 4,82.98358305 Ether,"306,112"
0x5c985e89dde482efe97ea9f1950ad149eb73829b,Huobi 5,92.44689901 Ether,"130,883"
0xdc76cd25977e0a5ae17155770273ad58648900d3,Huobi 6,"850,860.64196888 Ether",140
0xadb2b42f6bd96f5c65920b9ac88619dce4166f94,Huobi 7,82.64847963 Ether,"269,404"
0xa8660c8ffd6d578f657b72c0c811284aef0b735e,Huobi 8,8.90224325 Ether,"140,626"
0x1062a747393198f70f71ec65a582423dba7e5ab3,Huobi 9,76.87548935 Ether,"367,550"
0x2910543af39aba0cd09dbb2d50200b3e800a63d2,Kraken 1,"25,611.10709943 Ether","54,764"
0x0a869d79a7052c7f1b55a8ebabbea3420f0d1e13,Kraken 2,"131,283.02866199 Ether","12,216"
0xe853c56864a2ebe4576a807d26fdc4a0ada51919,Kraken 3,"801,052.79995972 Ether",151
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,Kraken 4,"109,298.98134189 Ether","1,193,695"
0xfa52274dd61e1643d2205169732f29114bc240b3,Kraken 5,0 Ether,"1,605,537"
0xe8a0e282e6a3e8023465accd47fae39dd5db010b,Kryptono 1,0.02947003 Ether,"18,981"
0x629a7144235259336ea2694167f3c8b856edd7dc,Kryptono 2,0.00848255 Ether,95
0x30b71d015f60e2f959743038ce0aaec9b4c1ea44,Kryptono 3,0.01 Ether,"11,605"
0x2b5634c42055806a59e9107ed44d43c426e58258,KuCoin 1,"11,846.03690227 Ether","2,153,950"
0x689c56aef474df92d44a1b70850f808488f9769c,KuCoin 2,"9,556.35705156 Ether","734,428"
0x0861fca546225fbf8806986d211c8398f7457734,LAToken 1,0.00208564 Ether,"34,115"
0x7891b20c690605f4e370d6944c8a5dbfac5a451c,LAToken 2,"9,002.77199404 Ether","3,232"
