address,name_tag,ether_balance,txn_count,etherscan_address_dataset_reported,token_name,usd_market_cap,n_holders,is_token,etherscan_token_dataset_reported,cryptoscamdb_reported
0x4639cd8cd52EC1CF2E496a606ce28D8AfB1C792F,CBDAO: BREE Token,0.0,6966.0,True,,,,,False,False
0x64F0D720CE8B97ba44cd002005d2dFA3186C0580,Exit Scam YYFI Token,0.0,608.0,True,YYFI.finance (YYFI),0.0,371.0,True,True,False
0x57b818a1070373E21FcEdf48d4368E1703c75852,Fake: Hero Token Sale 2,0.0,2.0,True,,,,,False,True
0x6Eff949d9a4E7725D3EE3b894CeAA2813b7437E5,Fake: MARL Token,0.0,3.0,True,Marlin Protocol (MARL),0.0,3.0,True,True,False
0x3018A3EaB048a0a1c15003b383A181F089A039cC,FAKE: Status.im 3,0.0,1.0,True,,,,,False,False
0x2Dc5616EC2b9D24906F0e11dC8D8a736392dFeDD,Fake_Phishing1047,0.0,25.0,True,,,,,False,True
0xcc7ecC050aaB5843c79f14933E207f032bc16B78,Fake_Phishing1059,0.0,36.0,True,,,,,False,False
0x34bb6Cf517aBB83BFd8Bc4E41eD899810aC49b58,Fake_Phishing1064,0.0,14.0,True,,,,,False,False
0xE87d279D090DF4Ba19C0e19958D9ac61Be5c6909,Fake_Phishing1081,0.0,0.0,True,,,,,False,True
0x8A0E85901849B40A7F80399a00F7115193c0BDB2,Fake_Phishing1112,0.0,47.0,True,,,,,False,True
0x0c8b740E3377F2BE7A108AebA6A2F660588c728d,Fake_Phishing1165,0.0,85.0,True,,,,,False,True
0x903Dc47Aa7C40f9f59Ef1E5C167ce1A9B39a2bFF,Fake_Phishing1184,0.0,24.0,True,,,,,False,True
0x9E19462787BE36e5E3676ad2428B26599Bf9866C,Fake_Phishing1203,0.0,202.0,True,,,,,False,False
0x82B36a7410796a3bD2a0B206abb402b899B0A388,Fake_Phishing1225,0.0,1.0,True,,,,,False,False
0x8d305Fd29aEbd6e0562dE9321d55E7f0E6fbaCaD,Fake_Phishing1395,0.0,27.0,True,,,,,False,True
0x1aBC65765FD0DF7D997635EBE3027384BCF7923E,Fake_Phishing1426,0.0,19.0,True,,,,,False,True
0x42265e06267D5857CE0d28094A122f453EE66d37,Fake_Phishing1463,0.0,5.0,True,,,,,False,False
0x44525C8dd44b9D470937cC9E7a0275Eb14c7B01D,Fake_Phishing1466,0.0,82.0,True,,,,,False,False
0xEDc702Ed96AccAE315A0F1E8Fa2d5a6bC4FeeA69,Fake_Phishing1586,0.0,38.0,True,,,,,False,True
0x34959919244b18128d084834dBa11f0c91732eDe,Fake_Phishing159,0.0,81.0,True,,,,,False,False
0x9a670a4E0Fa4DC648D1C3bF9D999FE985C9fFBA3,Fake_Phishing1622,0.0,6.0,True,,,,,False,False
0x934a0a1BFE01eEb4415689d8E66e56e3F1f13077,Fake_Phishing1930,0.0,25.0,True,,,,,False,True
0xD3ddAE456004Ed85639A39a9751192e80a967ED4,Fake_Phishing1931,0.0,25.0,True,,,,,False,True
